NdUnfilled_max_value,phi_composition_average,SpaceGroupNumber_composition_average,phi_max_value,NpValence_composition_average,SecondIonizationEnergy_min_value,ThermalExpansionCoefficient_difference,ElasticModulus_composition_average,IsAlkali_arithmetic_average,Electronegativity_composition_average,Group_composition_average,Column_composition_average,ElasticModulus_min_value,ThirdIonizationEnergy_min_value,NUnfilled_arithmetic_average,NdUnfilled_composition_average,SecondIonizationEnergy_difference,HeatFusion_difference,NValance_min_value,BoilingT_difference,IonicRadii_min_value,n_ws^third_composition_average,MendeleevNumber_min_value,SecondIonizationEnergy_arithmetic_average,SecondIonizationEnergy_composition_average
4.0,3.248,134.4,6.86,2.2,16.18,768.2,67.0,0.0,2.73,13.2,13.2,124.0,30.651,2.5,0.8,18.937,13.59,5.0,3122.79,0.55,0.978,55.0,25.2975,27.2614
5.0,5.8260000000000005,190.0,6.86,2.0,16.461,235.2,67.2,0.0,2.612,12.8,12.8,14.0,27.16,4.666666666666667,1.0,13.14,37.125,5.0,4834.79,0.59,1.5779999999999998,50.0,21.643666666666665,24.8266
6.0,3.222,132.79999999999998,6.86,2.2,15.64,775.5,119.8,0.0,2.766,12.0,12.0,198.0,33.667,4.0,2.2,19.477,52.09,5.0,5750.79,0.6,1.0139999999999998,51.0,20.0895,23.095
7.0,3.032,135.8,6.86,2.4000000000000004,14.32,1792.7,46.6,0.0,2.738,11.6,11.6,104.0,25.04,4.0,2.6,20.797,29.78,5.0,4939.79,0.54,0.986,46.0,25.7316,25.7316
0.0,2.6919999999999997,128.2,6.86,2.4000000000000004,20.428,750.1,3.4,0.25,2.494,12.2,12.2,5.0,29.829,2.75,0.0,26.858,3.9219999999999997,1.0,1668.79,1.02,0.718,2.0,33.108000000000004,33.5098
0.0,3.172,133.60000000000002,6.86,2.6,15.934000000000001,774.3,47.8,0.0,2.766,14.4,14.4,115.0,34.22,2.5,0.0,19.183,36.72,5.0,3122.79,0.53,0.898,64.0,25.236,27.2122
0.0,4.3740000000000006,159.0,6.86,2.2,25.154,775.3,90.2,0.25,2.508,12.0,12.0,10.0,37.93,2.75,0.0,51.48400000000001,49.98,1.0,4195.79,0.23,1.206,1.0,41.6275,39.2222
0.0,6.006,188.4,6.86,2.4,16.53,229.0,73.60000000000002,0.0,2.5480000000000005,12.4,12.4,67.0,25.3,2.0,0.0,13.070999999999998,19.435,2.0,2665.79,0.45,1.5759999999999998,67.0,21.447333333333333,24.7088
7.0,0.85,83.4,4.25,3.2,14.65,771.6,33.8,0.0,2.81,13.8,13.8,40.0,27.96,3.666666666666667,1.4,20.467,21.28,5.0,3589.9,0.54,0.328,46.0,22.789,27.7202
4.0,6.112,201.0,6.86,1.8,16.18,228.7,102.4,0.0,2.5040000000000004,11.0,11.0,211.0,30.651,2.333333333333333,0.8,13.421,13.455,2.0,3056.79,0.45,1.6780000000000002,55.0,21.330666666666666,24.6388
8.0,0.6900000000000001,77.0,3.45,3.4000000000000004,13.13,1794.3,26.8,0.0,2.858,13.8,13.8,40.0,22.99,3.25,1.6,21.986999999999995,20.78,4.0,4597.12,0.84,0.282,44.0,25.454249999999995,27.3868
4.0,5.886000000000001,194.0,6.86,1.8,15.035,234.9,118.88,0.0,2.526,11.0,11.0,44.4,47.448,2.333333333333333,0.8,14.566,57.49500000000001,2.0,5207.79,0.63,1.594,57.0,14.878666666666666,20.7676
7.0,1.92,109.6,5.55,2.4000000000000004,23.33,773.7,147.0,0.0,2.632,12.400000000000002,12.400000000000002,19.0,34.83,3.5,2.0,11.787,40.9,6.0,5640.9,0.29,0.6920000000000001,48.0,14.61175,18.7128
